"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"GO4","FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","11,0301","18,9276","22,5429","25,2195","30,7399","-","-"
"ODS","OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,6611","7,6787","16,2125","17,0731","30,7371","227,7043","673,8212"
"YPL","YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,2860","9,9144","18,0294","18,8804","30,6998","183,6166","643,8748"
"ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2699","7,2294","16,4075","17,8115","30,6623","170,6644","485,8304"
"DFD","DENİZ PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","3,7920","14,7358","21,1190","26,7449","30,6547","93,6369","-"
"YBE","YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,4544","10,8195","18,2383","19,1743","30,6530","225,8431","639,7772"
"TJI","TEB PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","10,1393","16,3808","16,9645","19,6998","30,5618","231,1809","-"
"IPV","İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","2,8209","8,4482","15,5239","16,8986","30,5511","199,2032","685,6495"
"HST","HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","5,0322","12,3201","11,3866","16,9330","30,5333","122,2803","197,7236"
"IEV","İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,3114","19,8529","13,1843","18,4859","30,4213","257,3002","-"
"RPS","ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7552","8,5360","16,6709","17,7035","30,3917","199,5954","-"
"YSU","YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,8823","13,7595","10,8953","15,9173","30,3108","249,1970","507,0838"
"ICC","ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,3700","11,7013","17,4308","19,4595","30,0916","381,8528","752,3678"
"TPL","TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,3875","8,7341","16,3974","17,6838","29,9881","191,5013","612,8530"
"NCS","NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3434","7,1051","16,5164","17,8146","29,9210","-","-"
"ANZ","ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1347","8,7049","17,5029","18,1928","29,6595","196,9808","656,0860"
"PPE","PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,9004","9,6438","18,5032","18,7990","29,6404","-","-"
"KKH","İŞ PORTFÖY DENGELİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","6,3171","16,9694","16,3907","17,9230","29,5945","256,7626","-"
"FD1","FONERİA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,2863","14,0972","22,4581","22,9207","29,5710","-","-"
"OBP","OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,6186","14,8029","15,2436","19,5223","29,5557","291,1010","443,4719"
"CKS","İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5830","7,8142","17,1097","17,9728","29,5525","-","-"
"AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","Serbest Şemsiye Fonu","2,0681","8,3351","15,6998","16,6132","29,4301","197,7599","654,7012"
"GAS","GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,7613","8,1113","17,0849","18,0679","29,3211","189,0865","637,3542"
"YLO","YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,7442","35,9676","20,4321","24,9621","29,2978","221,4586","-"
"NSD","NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3794","7,0570","16,1465","17,3454","29,2373","-","-"
"KIS","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU","Katılım Şemsiye Fonu","2,3335","7,5340","15,6539","16,3041","29,2051","172,5931","612,1807"
"FIT","FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","6,4310","13,1572","7,7552","12,2382","29,1040","93,8405","160,6026"
"AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,4142","8,8867","17,6418","18,2949","29,0562","210,0281","631,4226"
"EC2","GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","24,8767","38,6124","25,7848","29,2513","28,9946","678,7569","1.553,7326"
"KDT","GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5886","7,7803","16,9799","17,9741","28,9400","-","-"
"ZPA","ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4154","7,4363","16,2780","17,2872","28,8549","178,7642","-"
"IRF","İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,0921","12,0395","17,8000","19,5607","28,7764","346,3618","-"
"HP3","HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2273","7,0456","15,7636","16,8173","28,7598","-","-"
"EBD","GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,2129","11,5821","16,8115","17,7737","28,6343","318,2213","652,5730"
"ZP6","ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON","Serbest Şemsiye Fonu","2,3144","7,0493","16,0713","17,1435","28,4955","-","-"
"PDF","QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4398","7,7342","15,9522","16,7349","28,4882","175,0998","588,1663"
"YJY","YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2726","7,0475","15,9359","17,0712","28,4322","172,3047","-"
"GBC","AZİMUT PYŞ YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","9,6112","31,6379","19,4120","23,6351","28,3463","202,1431","495,7529"
"PBK","QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,3071","7,4990","16,4988","17,4288","28,1541","173,6893","605,8801"
"YMD","YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON","Serbest Şemsiye Fonu","2,3642","7,1907","15,9745","17,0529","28,0741","-","-"
"DNM","QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7403","10,9187","19,7010","23,1435","28,0197","-","-"
"SHE","TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,8185","13,0722","12,5638","13,6654","27,9847","-","-"
"AC6","PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,0164","8,1590","14,1587","15,1001","27,8876","-","-"
"GZV","GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","7,3543","20,7349","20,0052","21,9539","27,7284","204,2958","-"
"AJK","AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2437","7,5260","16,3482","17,4988","27,6806","152,9505","583,2429"
"HGM","HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,8788","23,1934","15,5192","18,6399","27,6775","-","-"
"RPX","ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2937","6,8835","15,9005","17,1291","27,6118","-","-"
"HYP","AZİMUT PORTFÖY İVME SERBEST FON","Serbest Şemsiye Fonu","7,5207","30,0725","13,8080","16,7054","27,5935","251,4595","-"
"TDG","İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,3030","6,6919","15,4808","16,6608","27,3536","147,0342","469,1055"
"DOL","AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3185","6,9424","15,7406","16,8654","27,3485","-","-"
"UPD","ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","3,0089","8,1458","15,7478","16,7823","27,2871","177,5001","620,8280"
"GAG","INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON","Serbest Şemsiye Fonu","2,3633","6,7821","14,6808","16,5589","27,1064","172,0751","589,6520"
"FPZ","QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2754","6,8180","15,5850","16,7031","27,0623","181,7798","615,9889"
"DAS","DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2436","6,6917","15,5099","16,6162","27,0325","-","-"
"NBH","NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON","Serbest Şemsiye Fonu","5,5506","11,6283","14,4219","13,7931","26,9819","264,8021","-"
"AUV","AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,5450","10,0673","18,8864","19,7216","26,9784","-","-"
"GRO","GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2907","6,8689","15,6897","16,8155","26,9628","-","-"
"PAL","AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,2715","6,7873","15,5753","16,6956","26,9606","156,2970","569,3824"
"ODV","AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","10,0302","15,2118","15,5299","19,2447","26,9601","270,6445","702,9739"
