"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"GBH","GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","19,6380","17,6796","10,4466","14,3225","3,4357","-","-"
"GAF","INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,5868","15,3294","6,6064","9,5160","3,4335","548,7857","1.292,7074"
"ASJ","AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,7556","16,1012","8,4988","8,6117","2,9656","-","-"
"ADP","AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","23,3649","37,5508","5,9643","13,1737","2,9341","717,2559","1.277,7484"
"GHS","GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,5760","16,0006","9,2181","12,3387","2,9022","509,3438","1.568,4448"
"RPI","ROTA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,8437","11,7422","7,6756","7,8437","2,8264","-","-"
"IJT","İŞ PORTFÖY TARIM SERBEST FON","Serbest Şemsiye Fonu","3,9570","0,1262","4,1983","6,3114","2,6376","195,8150","-"
"NZH","NEO PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,2249","10,8887","7,9760","14,2464","2,5833","86,8688","-"
"SUB","ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,1664","10,3800","7,3721","7,7803","2,3548","381,6256","735,9563"
"AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","0,7051","3,9900","6,6519","8,9662","2,2065","106,2340","662,5364"
"FPH","FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,0510","18,1312","9,6785","12,2513","2,0845","451,1297","1.178,1803"
"GTM","GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,7355","16,9465","9,0298","11,8305","1,9498","-","-"
"IDH","İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","20,6669","20,9225","10,2641","10,7598","1,8646","653,0363","-"
"THD","TRIVE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8337","14,1994","1,5561","3,4856","1,8450","-","-"
"ICF","ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,8694","13,4431","7,9775","9,3481","1,7409","557,2964","1.366,7696"
"MMH","AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,2094","17,6769","9,6527","13,3083","1,7189","438,4151","1.053,5930"
"HVS","HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,8856","12,2623","8,0834","12,0184","1,6260","514,0891","1.715,0816"
"YZH","TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","23,5284","38,0204","4,8736","11,9023","1,5388","709,7607","-"
"TCD","TACİRLER PORTFÖY DEĞIŞKEN FON","Değişken Şemsiye Fonu","12,7274","14,7362","4,9454","4,9069","1,2641","330,5610","1.289,5975"
"DHJ","DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,7863","9,5359","6,7456","7,1620","1,1622","359,0432","-"
"GIE","GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8781","15,1696","7,8786","11,7471","1,1031","-","-"
"FSG","FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","15,9377","17,8363","9,3649","12,6347","0,7185","-","-"
"GAE","GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,0251","17,4307","9,2323","12,4590","0,6842","356,0286","814,6212"
"AKU","AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,9471","16,9250","8,6318","11,7541","0,5031","347,0635","815,4181"
"OIL","OSMANLI PORTFÖY AGRESİF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","16,2626","15,4186","5,8360","8,9628","0,4777","-","-"
"YEF","YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,3153","16,1581","8,7622","11,8257","0,4757","397,6391","885,6528"
"EID","QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,8616","13,9326","7,1477","5,6711","0,4268","578,8104","1.428,0002"
"HBU","HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8034","17,5891","8,8874","12,1673","0,4096","367,2751","886,9214"
"RBN","RE-PIE PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","8,3279","6,0240","0,8117","5,4121","0,0909","-","-"
"TIE","İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,1319","16,8810","8,3428","11,4862","-0,0006","352,1568","813,5250"
"BID","QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,5328","9,7044","6,0279","4,5396","-0,0405","-","-"
"FYD","QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","19,5768","17,2393","6,9519","10,9620","-0,0517","468,6890","1.569,8892"
"YCP","YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","22,9218","36,3116","4,8446","12,1884","-0,2061","640,1169","-"
"GSP","AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,6980","7,8532","2,7354","3,5854","-0,4874","496,1493","949,6038"
"HMS","HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,6587","12,5462","6,2133","9,1968","-0,9616","543,9372","-"
"GZR","GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,3975","13,6717","6,7838","8,9269","-1,1192","424,5784","-"
"YUB","YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","14,0947","11,3957","6,8825","10,2166","-1,3159","-","-"
"YHS","YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,6334","18,6214","10,1405","13,4755","-1,3201","459,3456","1.201,6906"
"VAY","AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","19,0585","22,0762","7,5807","10,0567","-1,4276","-","-"
"IIH","İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,3984","15,0970","5,5323","7,0079","-1,7339","739,6376","2.123,4187"
"PPB","PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","23,7303","27,6682","2,7365","8,4343","-1,7962","544,1348","-"
"APJ","AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","16,2718","15,0545","5,0350","7,9887","-1,9860","160,8692","285,3221"
"AYA","ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,7361","10,1704","2,8779","6,5848","-2,2179","308,7104","675,8795"
"TLH","AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","21,3615","17,0258","9,8774","9,0481","-2,3636","431,3192","1.028,4986"
"BVM","ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","9,6300","16,7917","4,5139","7,2633","-2,3885","216,4885","-"
"YLE","YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,9373","15,3351","7,4215","9,3932","-2,7012","460,7409","-"
"FUA","AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,9846","6,1383","6,7466","7,5053","-2,9582","233,4811","-"
"KPH","İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","10,9403","9,7542","3,7172","4,6591","-3,1985","-","-"
"DAH","DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,9338","10,1097","2,7162","2,9458","-3,2468","452,8791","1.106,2681"
"YDI","YAPI KREDİ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,4936","17,8701","7,4747","9,4860","-3,2485","426,5660","1.149,8896"
"BIO","İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,1956","14,5839","4,5433","8,7196","-3,2933","-","-"
"TI2","İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,9878","16,8820","4,7319","8,1877","-3,3668","644,4970","1.574,2659"
"DZE","DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,3416","13,8661","6,3679","8,2032","-3,5423","356,3555","920,7889"
"GL1","AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,3693","15,3754","2,9649","3,9905","-3,5800","507,0848","1.282,6536"
"UPH","ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,0980","10,4785","7,7715","9,7658","-3,8301","474,9798","1.397,8930"
"DDA","DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","26,3165","40,7018","-2,9048","2,9646","-3,8444","556,8155","-"
"DXP","DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,3214","5,1654","5,6633","4,5695","-4,3742","-","-"
"IHK","İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,3431","14,6748","3,7015","7,4639","-4,5122","650,2995","-"
"OHK","OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,0271","13,0075","10,3883","8,5578","-4,6028","-","-"
"DLD","DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,7561","15,9231","7,1119","9,3287","-4,6461","364,4006","-"
"IFN","ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,4942","13,8899","4,8489","6,0134","-5,1961","554,8500","-"
"ST1","STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","25,8570","18,1212","4,2351","1,3652","-5,3035","405,1188","1.109,7044"
"IHT","İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,1438","4,6937","1,9540","0,8222","-5,4967","-","-"
"TYH","TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,4291","12,8002","0,9028","3,4286","-5,5668","534,8721","1.480,0254"
"ESP","AURA PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","-0,2248","-0,5199","-20,2573","-17,5930","-6,3750","-","-"
"OPI","OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,5023","9,8244","2,8208","1,2041","-7,0552","384,8512","1.328,5151"
"YAS","YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,2776","14,0717","6,8077","3,8325","-7,0775","334,8143","987,0445"
"KYA","KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,9176","16,4083","8,1580","8,3614","-7,4881","528,2268","1.380,1950"
"OPH","OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,1447","8,7483","6,0500","3,3000","-7,6082","412,4747","1.433,1477"
"ZLH","ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,5318","11,8719","3,4632","2,2796","-7,8017","409,3589","-"
"IHZ","ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","20,8708","25,2953","5,4497","6,2227","-8,0079","-","-"
"AEV","ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8412","0,7508","0,0093","2,2274","-8,2259","-","-"
"AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,4676","11,9526","1,9367","3,9477","-9,2491","498,1014","1.347,1002"
"TLZ","ATA PORTFÖY ANALİZ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,2939","15,5187","10,6651","10,7698","-9,6212","358,6387","992,4180"
"TI3","İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","20,6464","17,9562","-0,9368","1,3463","-9,6921","397,6129","1.186,7547"
"HKR","HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","18,5426","8,2815","4,7348","8,1312","-9,7319","-","-"
"DPT","DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","Hisse Senedi Şemsiye Fonu","14,6825","16,5112","-0,6784","1,0294","-11,1666","340,6389","1.014,9538"
"GMR","INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,4125","15,2716","2,9253","1,7928","-11,3342","433,8315","1.267,0666"
"YLY","YAPI KREDİ PORTFÖY KİLYOS KAR PAYI ÖDEYEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","6,3646","6,6543","1,4635","-1,5642","-12,2832","-","-"
"NRC","NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","19,4680","17,5998","-4,0849","-1,2745","-14,4339","501,5497","-"
"ONE","AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","5,7798","5,0255","-5,0658","-5,2179","-21,0718","-","-"
"NHY","NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","18,3863","16,4504","-8,0179","-5,9528","-22,6371","-","-"
"DKR","DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","23,6689","20,1784","-15,4150","-18,5807","-23,1049","-","-"
"BUL","AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","17,1768","23,1455","7,1688","8,1238","-23,4625","-","-"
"HKM","HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","5,5623","-12,4645","5,7369","-4,4186","-24,6424","-","-"
"THV","ATA PORTFÖY BARBAROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","5,7849","-6,9008","-18,2850","-17,6697","-24,6692","355,3974","-"
"GIH","ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,1413","6,1961","0,8904","-2,5578","-25,4190","-","-"
"THT","TRİVE PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","17,3820","12,2999","-3,8644","2,3409","-75,9254","-","-"
"IZF","QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-5,1533","-20,5716","-30,1608","-36,3743","-78,1250","-84,6405","-"
"KVT","AK PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,9053","13,3658","5,9781","5,3569","-","-","-"
"BRR","AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,7233","-","-","-","-","-","-"
"PPJ","AK PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","3,7146","12,5282","-","-","-","-","-"
"HRZ","AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,1086","13,5642","18,1249","19,4722","-","-","-"
"BOL","AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,2339","13,1727","16,0089","-","-","-","-"
"ENJ","AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,0997","11,4141","4,9003","4,2430","-","-","-"
"FLY","AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,9033","23,8622","33,5731","35,6960","-","-","-"
"LKT","AKTİF PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,5360","12,0510","24,3604","-","-","-","-"
"SPT","AKTİF PORTFÖY KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,5540","11,9083","19,7690","21,8586","-","-","-"
"TLK","AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,5438","11,8114","-","-","-","-","-"
"CKF","ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","4,7128","16,7733","25,8994","-","-","-","-"
"BBP","ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,8060","11,1989","21,1494","24,5028","-","-","-"
"BFE","ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,5056","11,4009","22,4702","25,5957","-","-","-"
"KLS","ALLBATROSS PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,8901","4,9851","-","-","-","-","-"
"KKL","ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,8483","12,5365","25,5241","28,4903","-","-","-"
"URA","ATA PORTFÖY ENERJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","14,8026","56,0167","30,1657","36,3477","-","-","-"
"BSH","ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","22,2489","31,9930","-2,2789","3,7947","-","-","-"
"BTZ","ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,5605","12,2642","8,4841","11,3312","-","-","-"
"BTJ","ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"KHJ","ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,5033","8,6404","10,9699","11,5581","-","-","-"
"KLH","ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,1469","5,2817","12,3293","24,1024","-","-","-"
"PSE","ATLAS PORTFÖY PARA PİYASASI SERBEST FON","Serbest Şemsiye Fonu","3,8695","13,0265","-","-","-","-","-"
"SNY","ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","10,9891","2,2108","-","-","-","-","-"
"STI","ATLAS PORTFÖY SENTİMENT SERBEST FON","Serbest Şemsiye Fonu","9,0625","22,3812","17,4355","18,8830","-","-","-"
"JUP","AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4158","8,3266","16,5071","17,4214","-","-","-"
"PRH","AURA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,6877","12,2417","24,3690","27,5562","-","-","-"
"BFT","AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","21,9238","20,6977","1,6682","3,0921","-","-","-"
"RCV","AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","10,6744","20,2643","-","-","-","-","-"
"HIZ","AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,6733","26,4886","15,2669","16,7879","-","-","-"
"OMG","AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,4209","13,0459","24,5262","-","-","-","-"
"IDI","AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,0555","2,5478","-","-","-","-","-"
"KOT","AZİMUT PORTFÖY KOÇ TOPLULUĞU ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","18,8795","18,0368","-","-","-","-","-"
"MCU","AZİMUT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"OTM","AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,9185","16,7358","-","-","-","-","-"
"PGS","AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,0999","8,5751","-","-","-","-","-"
"YPR","AZİMUT PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,0469","15,9210","-","-","-","-","-"
